id,customer_id,plan,billing_cycle,amount,status,start_date,renewal_date,lock_in_until,has_approved_exception,has_unresolved_dispute
SUB-50005024,CUS-50001024,starter_monthly,monthly,29.0,active,2025-11-05T00:00:00+00:00,2025-12-05T00:00:00+00:00,,False,False
SUB-50005025,CUS-50001025,pro_monthly,monthly,99.0,active,2026-02-04T00:00:00+00:00,2026-03-06T00:00:00+00:00,,False,False
SUB-50005026,CUS-50001026,enterprise_annual,annual,4990.0,active,2026-05-19T00:00:00+00:00,2027-05-19T00:00:00+00:00,2027-05-19T00:00:00+00:00,False,False
SUB-50005027,CUS-50001027,pro_annual,annual,990.0,active,2026-05-01T00:00:00+00:00,2027-05-01T00:00:00+00:00,2027-05-01T00:00:00+00:00,False,False
SUB-50005028,CUS-50001028,starter_monthly,monthly,29.0,active,2026-05-01T00:00:00+00:00,2026-05-31T00:00:00+00:00,,False,False
SUB-50005029,CUS-50001029,enterprise_annual,annual,4990.0,active,2025-10-21T00:00:00+00:00,2026-10-21T00:00:00+00:00,2026-10-21T00:00:00+00:00,False,False
SUB-50005030,CUS-50001030,enterprise_annual,annual,4990.0,active,2026-07-14T00:00:00+00:00,2027-07-14T00:00:00+00:00,2027-07-14T00:00:00+00:00,False,False
SUB-50005031,CUS-50001031,starter_monthly,monthly,29.0,active,2026-06-11T00:00:00+00:00,2026-07-11T00:00:00+00:00,,False,False
SUB-50005032,CUS-50001032,pro_monthly,monthly,99.0,active,2026-08-13T00:00:00+00:00,2026-09-12T00:00:00+00:00,,False,False
SUB-50005033,CUS-50001033,pro_annual,annual,990.0,active,2025-09-26T00:00:00+00:00,2026-09-26T00:00:00+00:00,2026-09-26T00:00:00+00:00,False,False
SUB-50005034,CUS-50001034,starter_monthly,monthly,29.0,active,2026-06-23T00:00:00+00:00,2026-07-23T00:00:00+00:00,,False,False
SUB-50005035,CUS-50001035,pro_annual,annual,990.0,active,2025-10-14T00:00:00+00:00,2026-10-14T00:00:00+00:00,2026-10-14T00:00:00+00:00,True,False
SUB-50005036,CUS-50001036,pro_annual,annual,990.0,active,2026-04-22T00:00:00+00:00,2027-04-22T00:00:00+00:00,2027-04-22T00:00:00+00:00,False,False
SUB-50005037,CUS-50001037,starter_monthly,monthly,29.0,active,2026-02-21T00:00:00+00:00,2026-03-23T00:00:00+00:00,,False,False
SUB-50005038,CUS-50001038,enterprise_annual,annual,4990.0,active,2026-06-02T00:00:00+00:00,2027-06-02T00:00:00+00:00,2027-06-02T00:00:00+00:00,False,False
SUB-50005039,CUS-50001039,pro_monthly,monthly,99.0,active,2026-07-31T00:00:00+00:00,2026-08-30T00:00:00+00:00,,False,False
SUB-50005040,CUS-50001040,pro_annual,annual,990.0,active,2025-09-25T00:00:00+00:00,2026-09-25T00:00:00+00:00,2026-09-25T00:00:00+00:00,False,False
SUB-50005041,CUS-50001041,enterprise_annual,annual,4990.0,active,2026-02-15T00:00:00+00:00,2027-02-15T00:00:00+00:00,2027-02-15T00:00:00+00:00,False,False
SUB-50005042,CUS-50001042,pro_annual,annual,990.0,active,2026-07-01T00:00:00+00:00,2027-07-01T00:00:00+00:00,2027-07-01T00:00:00+00:00,True,False
SUB-50005043,CUS-50001043,pro_annual,annual,990.0,active,2026-01-31T00:00:00+00:00,2027-01-31T00:00:00+00:00,2027-01-31T00:00:00+00:00,False,False
SUB-50005044,CUS-50001044,pro_annual,annual,990.0,active,2025-12-04T00:00:00+00:00,2026-12-04T00:00:00+00:00,2026-12-04T00:00:00+00:00,False,False
SUB-50005045,CUS-50001045,pro_annual,annual,990.0,active,2025-09-26T00:00:00+00:00,2026-09-26T00:00:00+00:00,2026-09-26T00:00:00+00:00,False,False
SUB-50005046,CUS-50001046,enterprise_annual,annual,4990.0,active,2025-11-17T00:00:00+00:00,2026-11-17T00:00:00+00:00,2026-11-17T00:00:00+00:00,False,False
SUB-50005047,CUS-50001047,pro_monthly,monthly,99.0,active,2026-01-19T00:00:00+00:00,2026-02-18T00:00:00+00:00,,False,False
SUB-50005048,CUS-50001048,enterprise_annual,annual,4990.0,active,2026-07-29T00:00:00+00:00,2027-07-29T00:00:00+00:00,2027-07-29T00:00:00+00:00,False,False
SUB-50005049,CUS-50001049,starter_monthly,monthly,29.0,active,2026-08-12T00:00:00+00:00,2026-09-11T00:00:00+00:00,,False,False
SUB-50005050,CUS-50001050,pro_monthly,monthly,99.0,active,2026-02-06T00:00:00+00:00,2026-03-08T00:00:00+00:00,,False,False
SUB-50005051,CUS-50001051,pro_monthly,monthly,99.0,active,2026-08-11T00:00:00+00:00,2026-09-10T00:00:00+00:00,,False,False
SUB-50005052,CUS-50001052,pro_monthly,monthly,99.0,active,2026-03-06T00:00:00+00:00,2026-04-05T00:00:00+00:00,,False,False
SUB-50005053,CUS-50001053,pro_annual,annual,990.0,active,2025-09-23T00:00:00+00:00,2026-09-23T00:00:00+00:00,2026-09-23T00:00:00+00:00,False,False
SUB-50005054,CUS-50001054,starter_monthly,monthly,29.0,active,2025-10-26T00:00:00+00:00,2025-11-25T00:00:00+00:00,,False,False
SUB-50005055,CUS-50001055,pro_monthly,monthly,99.0,active,2026-04-09T00:00:00+00:00,2026-05-09T00:00:00+00:00,,False,False
SUB-50005056,CUS-50001056,starter_monthly,monthly,29.0,active,2026-06-24T00:00:00+00:00,2026-07-24T00:00:00+00:00,,False,False
SUB-50005057,CUS-50001057,starter_monthly,monthly,29.0,active,2026-06-08T00:00:00+00:00,2026-07-08T00:00:00+00:00,,False,False
SUB-50005058,CUS-50001058,pro_monthly,monthly,99.0,active,2026-01-13T00:00:00+00:00,2026-02-12T00:00:00+00:00,,False,False
SUB-50005059,CUS-50001059,pro_annual,annual,990.0,active,2026-01-10T00:00:00+00:00,2027-01-10T00:00:00+00:00,2027-01-10T00:00:00+00:00,False,False
SUB-50005060,CUS-50001060,enterprise_annual,annual,4990.0,active,2026-01-05T00:00:00+00:00,2027-01-05T00:00:00+00:00,2027-01-05T00:00:00+00:00,False,False
