task_id,expected_resolution,must_escalate,required_evidence,category,issue,severity,expected_action
TASK-DEV-0017,escalate,True,"[""DOC-1004"", ""DOC-2001"", ""TXN-40121""]",fulfillment,delivery_dispute,high,"{""tool"": ""escalate_case"", ""params"": {""case_id"": ""CASE-40121"", ""team"": ""logistics_investigations"", ""reason"": ""signed courier proof of delivery on file for TXN-40121 requires investigation per DOC-1004""}}"
TASK-DEV-0018,deny,False,"[""DOC-1004"", ""TXN-40122""]",fulfillment,delivery_dispute,low,"{""tool"": ""none"", ""params"": {}}"
TASK-DEV-0019,request_info,False,"[""DOC-1005"", ""DOC-1004"", ""CUS-50000019""]",fulfillment,delivery_dispute,high,"{""tool"": ""request_verification"", ""params"": {""customer_id"": ""CUS-50000019"", ""verification_type"": ""identity""}}"
TASK-DEV-0020,escalate,True,"[""DOC-1004"", ""DOC-2001"", ""TXN-40124""]",fulfillment,delivery_dispute,high,"{""tool"": ""escalate_case"", ""params"": {""case_id"": ""CASE-40124"", ""team"": ""logistics_investigations"", ""reason"": ""signed courier proof of delivery on file for TXN-40124 requires investigation per DOC-1004""}}"
TASK-DEV-0021,request_info,False,"[""DOC-1005"", ""CUS-50000021""]",security,fraud_suspicion,high,"{""tool"": ""request_verification"", ""params"": {""customer_id"": ""CUS-50000021"", ""verification_type"": ""identity""}}"
TASK-DEV-0022,deny,False,"[""DOC-1005"", ""CUS-50000022""]",security,fraud_suspicion,low,"{""tool"": ""none"", ""params"": {}}"
TASK-DEV-0023,escalate,True,"[""DOC-1005"", ""CUS-50000023""]",security,fraud_suspicion,critical,"{""tool"": ""escalate_case"", ""params"": {""case_id"": ""CASE-40123"", ""team"": ""security_operations"", ""reason"": ""confirmed foreign unauthorized access on account CUS-50000023 per DOC-1005""}}"
TASK-DEV-0024,request_info,False,"[""DOC-1005"", ""CUS-50000024""]",security,fraud_suspicion,high,"{""tool"": ""request_verification"", ""params"": {""customer_id"": ""CUS-50000024"", ""verification_type"": ""identity""}}"
TASK-DEV-0025,request_info,False,"[""DOC-1005"", ""CUS-50000025""]",security,fraud_suspicion,high,"{""tool"": ""request_verification"", ""params"": {""customer_id"": ""CUS-50000025"", ""verification_type"": ""identity""}}"
TASK-DEV-0026,deny,False,"[""CASE-40126"", ""DOC-1001"", ""TXN-40126""]",billing,previous_agent_wrong,medium,"{""tool"": ""none"", ""params"": {}}"
TASK-DEV-0027,deny,False,"[""CASE-40127"", ""DOC-1001"", ""DOC-0991"", ""TXN-40127""]",billing,previous_agent_wrong,medium,"{""tool"": ""none"", ""params"": {}}"
TASK-DEV-0028,escalate,True,"[""CASE-40128"", ""DOC-1842"", ""TXN-40128""]",billing,previous_agent_wrong,high,"{""tool"": ""escalate_case"", ""params"": {""case_id"": ""CASE-40128"", ""team"": ""billing_specialists"", ""reason"": ""prior ticket CASE-40128 applied invalid precedent; active chargeback on TXN-40128 requires escalation per DOC-1842""}}"
TASK-DEV-0029,escalate,True,"[""CASE-40129"", ""DOC-1842"", ""TXN-40129""]",billing,previous_agent_wrong,high,"{""tool"": ""escalate_case"", ""params"": {""case_id"": ""CASE-40129"", ""team"": ""billing_specialists"", ""reason"": ""prior ticket CASE-40129 correctly escalated; active investigation on TXN-40129 requires billing_specialists per DOC-1842""}}"
TASK-DEV-0030,request_info,False,"[""CASE-40130"", ""DOC-1005"", ""CUS-50000030""]",billing,previous_agent_wrong,high,"{""tool"": ""request_verification"", ""params"": {""customer_id"": ""CUS-50000030"", ""verification_type"": ""identity""}}"
